epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.4377,1.16942,7.67598,1.24503,0.00167,1,0.50775,0.23561,0.34312,28.8696,0.53963,0.000653333,0.000653333,0.000653333
2,118.58,0.86159,4.84387,0.97226,1,0.56572,0.86528,0.67961,0.46302,27.958,0.60555,0.00118932,0.00118932,0.00118932
3,190.418,0.93243,3.85462,1.11954,1,0.9413,0.97833,0.72278,0.56344,23.9386,0.65935,0.00159331,0.00159331,0.00159331
4,250.08,0.8332,4.82068,0.97351,0.99494,0.85,0.9222,0.83058,0.32953,19.5608,0.53536,0.001406,0.001406,0.001406
5,310.623,0.63783,6.20698,0.78109,1,0.99439,0.995,0.86485,0.37553,17.0021,0.55334,0.001208,0.001208,0.001208
6,387.658,0.6408,4.20814,0.86607,0.99698,1,0.995,0.84724,0.32669,15.6544,0.53188,0.00101,0.00101,0.00101
7,453.005,0.57069,3.1669,0.87875,0.99694,1,0.995,0.91302,0.25661,15.115,0.5175,0.000812,0.000812,0.000812
8,517.85,0.45452,2.49743,0.822,0.99733,1,0.995,0.91147,0.23008,14.5888,0.51036,0.000614,0.000614,0.000614
9,575.052,0.43433,2.48644,0.7814,0.99743,1,0.995,0.93543,0.22097,14.3984,0.50821,0.000416,0.000416,0.000416
10,630.886,0.38435,2.8509,0.76278,0.99771,1,0.995,0.95255,0.18882,14.3574,0.49543,0.000218,0.000218,0.000218
