epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.1991,1.56004,4.27928,1.40672,0.65558,0.73757,0.69855,0.3895,1.5102,3.13628,1.45985,0.000662602,0.000662602,0.000662602
2,186.574,1.3574,3.01116,1.30206,0.71417,0.65,0.72071,0.45335,1.3854,2.84978,1.3232,0.00119767,0.00119767,0.00119767
3,280.533,1.26364,2.59451,1.25056,0.72247,0.825,0.85765,0.52082,1.27157,2.78995,1.31952,0.00160074,0.00160074,0.00160074
4,373.759,1.20612,2.29584,1.23074,0.87519,0.6625,0.77614,0.50353,1.357,2.25059,1.30112,0.001406,0.001406,0.001406
5,467.608,1.1476,2.00719,1.15975,0.95534,0.9125,0.97799,0.65179,1.07452,1.73244,1.16683,0.001208,0.001208,0.001208
6,562.117,1.16952,1.88219,1.19586,0.96117,0.92818,0.98189,0.66266,1.07026,1.53152,1.12755,0.00101,0.00101,0.00101
7,656.417,0.98648,1.70629,1.07289,0.96139,0.93391,0.97633,0.68295,1.02518,1.4607,1.08743,0.000812,0.000812,0.000812
8,751.141,0.97785,1.51113,1.0792,0.97353,0.875,0.96543,0.6784,1.02539,1.30452,1.09403,0.000614,0.000614,0.000614
9,845.656,0.99922,1.40341,1.08543,0.98695,0.94506,0.97667,0.71417,0.97366,1.2711,1.06852,0.000416,0.000416,0.000416
10,939.324,0.87177,1.34623,1.00501,0.98727,0.96972,0.98408,0.7297,0.89003,1.25729,1.03026,0.000218,0.000218,0.000218
